,O3 (ppb),CO (ppm),SO2 (μg/m³),NO2 (μg/m³),PM2.5 (μg/m³),PM10 (μg/m³),Polluted
1,40,0.3,15,35,20,45,0
2,20,0.4,18,45,30,55,0
3,10,0.2,10,25,15,40,0
4,5,0.6,25,50,35,60,0
5,50,0.7,30,55,40,70,1
6,35,0.4,18,38,28,55,0
7,25,0.5,22,48,33,58,0
8,15,0.3,12,30,18,42,0
9,8,0.8,28,60,45,75,1
10,190,0.9,106,99,54,56,1
11,142,0.7,31,52,79,34,1
12,228,0.6,150,74,71,81,1
13,89,0.0,85,95,4,70,1
14,130,0.8,6,49,51,43,0
15,235,0.4,14,20,68,37,0
16,143,0.7,23,62,37,15,1
17,11,0.2,149,47,65,76,0
18,47,0.4,51,85,21,18,0
19,230,0.5,133,35,60,44,0
20,154,0.9,77,59,35,89,1
21,87,1.0,125,18,60,45,1
22,120,0.1,8,44,26,42,0
23,96,0.1,117,110,14,8,0
24,238,0.5,16,32,51,86,0
25,18,1.0,92,38,82,70,1
26,171,0.2,92,16,11,67,0
27,198,0.0,30,83,48,87,1
28,7,0.2,137,115,84,84,1
29,93,0.3,47,95,65,62,1
30,39,0.5,50,120,36,60,1
31,211,0.1,113,117,89,17,1
32,222,0.5,128,10,19,76,0
33,84,0.1,53,125,42,67,1
34,69,0.3,31,18,96,47,0
35,180,0.8,132,84,74,88,1
36,126,0.1,129,122,45,43,1
37,64,0.5,65,59,28,84,1
38,123,0.5,109,95,68,37,1
39,210,0.0,119,89,69,17,1
40,210,0.7,57,104,61,47,1
41,211,0.6,95,73,73,98,1
42,164,0.5,25,41,73,17,0
43,16,0.7,101,81,4,93,1
44,250,0.1,122,94,61,42,1
45,15,0.4,89,129,97,51,1
46,241,0.5,51,93,40,19,1
47,155,0.5,112,40,42,25,0
48,205,0.8,134,27,66,17,1
49,128,0.5,64,52,90,14,1
50,119,0.9,20,104,31,58,1
51,44,0.8,52,20,93,66,1
52,207,0.6,131,130,88,59,1
53,65,0.3,32,27,57,94,0
54,223,0.2,35,83,47,100,1
55,193,0.9,89,38,90,31,1
56,61,0.3,96,118,85,18,1
57,9,0.9,55,126,52,75,1
58,156,0.4,31,116,99,51,1
59,147,0.5,92,82,19,74,1
60,163,0.2,6,56,59,95,1
61,116,0.4,98,38,7,48,0
62,101,0.2,127,113,83,8,1
63,26,0.9,123,71,81,57,1
64,105,1.0,96,66,28,37,1
65,18,0.9,131,59,86,79,1
66,77,0.8,106,40,91,79,1
67,212,0.8,138,99,71,19,1
68,70,0.9,134,10,72,18,1
69,44,0.9,37,43,50,77,1
70,166,0.2,147,105,44,48,1
71,188,0.1,87,19,68,18,0
72,142,0.9,13,87,78,51,1
73,76,0.9,29,62,24,73,1
74,97,0.9,149,79,5,89,1
75,81,0.5,133,116,43,94,1
76,235,0.5,73,116,17,96,1
77,72,0.3,19,80,26,6,0
